Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Distance_by_year,age,eng_cap_diff
55.0,139.0,2010,11.0,236802.0,1300.0,0.0,1.0,5699.0,19733.5,14,341.76606841540115
48.0,14.0,2008,4.0,209000.0,1349.0,4.0,1.0,4700.0,14928.57142857143,16,146.64648232411628
55.0,139.0,2011,11.0,222000.0,1300.0,0.0,1.0,3500.0,20181.81818181818,13,341.76606841540115
6.0,72.0,2002,10.0,289392.0,2500.0,0.0,1.0,5300.0,14469.6,22,528.8946238566361
16.0,441.0,2009,10.0,192000.0,1500.0,0.0,1.0,2555.0,14769.23076923077,15,471.1053761433639
23.0,321.0,2015,11.0,130000.0,999.0,4.0,1.0,6200.0,18571.42857142857,9,642.7660684154012
13.0,427.0,2005,4.0,224000.0,1600.0,4.0,1.0,2550.0,13176.470588235294,19,104.35351767588372
5.0,89.0,1985,10.0,229145.0,1800.0,3.0,0.0,950.0,6193.108108108108,39,171.10537614336386
73.0,208.0,2018,10.0,132153.0,2500.0,2.0,0.0,24500.0,33038.25,6,528.8946238566361
76.0,399.0,2014,10.0,99000.0,2000.0,0.0,0.0,12999.0,12375.0,10,28.894623856636144
39.0,655.0,2014,4.0,22675.0,1300.0,1.0,0.0,12500.0,2834.375,10,195.64648232411628
55.0,722.0,2003,10.0,169000.0,2200.0,0.0,1.0,5600.0,8894.736842105263,21,228.89462385663612
73.0,246.0,1997,4.0,250000.0,1400.0,4.0,1.0,1250.0,10000.0,27,95.64648232411628
6.0,72.0,1994,10.0,280000.0,2000.0,4.0,1.0,2199.0,10000.0,30,28.894623856636144
15.0,160.0,2007,6.0,297718.0,1900.0,0.0,1.0,2100.0,19847.866666666665,17,96.38093575418998
73.0,208.0,2007,10.0,245000.0,2400.0,3.0,0.0,6999.0,16333.333333333334,17,428.89462385663614
60.0,467.0,2014,11.0,204297.0,1461.0,0.0,1.0,7499.0,25537.125,10,180.76606841540115
48.0,59.0,1996,4.0,347000.0,1324.0,4.0,1.0,1450.0,13346.153846153846,28,171.64648232411628
23.0,332.0,2013,10.0,120788.0,2000.0,5.0,0.0,12499.0,13420.888888888889,11,28.894623856636144
33.0,683.0,2004,6.0,322000.0,2900.0,0.0,1.0,4500.0,17888.88888888889,20,1096.38093575419
5.0,111.0,2010,10.0,220214.0,3000.0,4.0,0.0,22000.0,18351.166666666668,14,1028.894623856636
42.0,265.0,2005,9.0,175103.0,2800.0,0.0,1.0,13099.0,10300.176470588236,19,419.2774433935224
6.0,72.0,1992,10.0,231068.0,1991.0,3.0,1.0,2369.0,7702.266666666666,32,19.894623856636144
49.0,276.0,2010,10.0,241256.0,2143.0,0.0,0.0,12000.0,20104.666666666668,14,171.89462385663614
76.0,640.0,2001,6.0,35000.0,1900.0,0.0,1.0,4300.0,1666.6666666666667,23,96.38093575418998
49.0,102.0,2000,4.0,287889.0,1396.0,4.0,1.0,1899.0,13085.863636363636,24,99.64648232411628
60.0,409.0,2015,9.0,149500.0,1500.0,0.0,0.0,12950.0,21357.14285714286,9,880.7225566064776
55.0,139.0,2011,11.0,256124.0,1248.0,0.0,1.0,7999.0,23284.0,13,393.7660684154012
31.0,193.0,2010,3.0,170000.0,2200.0,0.0,0.0,13350.0,14166.666666666666,14,195.92927228127564
76.0,356.0,2008,4.0,156000.0,1600.0,4.0,1.0,3200.0,11142.857142857143,16,104.35351767588372
60.0,629.0,2006,4.0,267818.0,1500.0,0.0,1.0,3999.0,16738.625,18,4.353517675883722
23.0,421.0,2018,9.0,149000.0,1500.0,0.0,0.0,14950.0,37250.0,6,880.7225566064776
76.0,520.0,1997,10.0,265523.0,1800.0,4.0,1.0,2000.0,10620.92,27,171.10537614336386
73.0,588.0,2013,3.0,82000.0,2000.0,4.0,0.0,17350.0,9111.111111111111,11,4.070727718724356
